Название предприятия,Ссылка на вебсайт компании,Описание компании
Вологодский лес,https://alestech.ru/factory/74-vologodskiy-les,"ООО «Вологодский лес» осуществляет лесозаготовку и лесопереработку. Лесозаготовка осуществляется на территории Вологодской и Архангельской областей. Лесоперерабатывающие мощности компании расположены в Верхне­важском районе Вологодской области, в Вологде.Объем заготовки ООО «Вологодский лес» составляет 350 тыс. м3древесины в год.В Верхневажском районе был создан комплекс по выпуску пило­материалов, погонажных изделий, топливных брикетов RUF, мебельного щита. В Вологде созданы мощности по сортировке круглых лесоматериалов, лесопилению, производству древесных брикетов, выпуску погонажных изделий, древесного угля и технологической щепы. В Вельске (Архангельская область) в 2017 г. создан филиал для приемки и отправки древесины железно­дорожным транспортом. В порту Тотьма (Вологодская область) налажена приемка круглых лесоматериалов, отправка водным транспортом, а также производство пило­материалов. На базе в г. Сокол осуществляется приемка, сортировка и отправка круглого леса железно­дорожным транспортом.В 2015 г. компанией ПО «Теплоресурс» на предприятии был установлен котел серии КТУ-2000, модель КМТ с подвижной колосниковой решеткой и организован топливный склад. В 2017 г. установлен второй котел КТУ-2000, модель КМТ с подвижной колосниковой решеткой и также организован топливный склад.В 2019 г. на предприятии был установлен автоматический торцовочный станок СТА-1 и транспортёр удаления отходов производства компании НПФ «Техпромсервис».В 2019 г. компания запустила в Вологде производство фанеры под названием«Вологодская фанера».В 2020 г. ООО «Вологодский лес» успешно завершило реализацию приоритетного инвестиционного проекта в области освоения лесов по организации лесо­пере­рабатывающего производства. В проект было инвестировано около 1,8 млрд рублей, создано 253 рабочих места.Производственная мощность по проекту:фанера — 36 тыс. м3;пиломатериалы — 19 тыс. м3;погонажные изделия — 7 тыс. м3;мебельный щит — 2 тыс. м3;уголь древесный — 5 тыс. т.В феврале 2020 г. на предприятии было установлено оборудование для производства топливных брикетов мощностью 4 тонны в час. Осенью 2021 г. компания запустила в эксплуатацию вторую линию RUF по производству биотоплива, в результате мощность по производству топливных брикетов достигла 80 тонн в день. Объем инвестиций в брикетирующую линию составил 40 млн рублей, создано 20 рабочих мест.В 2020 г. компания ПО «Теплоресурс» установила на предприятии термомасляный котёл КМТ-Т 5000 и организовала топливный склад.Компания располагает терминалами в Вологде общей площадью более 30 га с двумя сортировочными линиями пропускной способностью до 4 тыс. м3круглых лесоматериалов в сутки, тремя железно­дорожными тупиками с возможностью погрузки до 60 вагонов в сутки.По данным WhatWood, в 2020 г. ООО «Вологодский лес» произвело 10 тыс. м3фанеры.На ноябрь 2021 г. производственные мощности ООО «Вологодский лес» составляют:фанера — 36 тыс. м3в год;пиломатериалы — 35 тыс. м3в год;погонажные изделия — 500 тыс. пог. м в год,древесный уголь — 1,2 тыс. т в год,древесные топливные брикеты — 30 тыс. т в год.В 2021 г. компания ПО «Теплоресурс» установила на предприятии термомасляный котёл КМТ-6000-ТМ и организовала топливный склад.В январе 2023 г. компания сообщила, что производит 36 тыс. м3фанеры в год, форматом 1525х1525 мм, а объем произвводства топливных брикетов составляет 2 тыс. т в месяц.С целью обеспечения предприятия собственным качественным посадочным материалом (сеянцами ели) создан лесопитомник.На предприятии работает 440 человек, из них на фанерном предприятии - 371 человекаВыручка ООО «Вологодский лес» в 2021 г. составила 2,3 млрд рублей, чистая прибыль — 138,5 млн рублей. Количество работающих - 348 чел.В феврале 2022 г. пресс-служба правительства Вологодской области сообщила, что ООО «Вологодский лес» планирует реализацию нового инвестиционного проекта по созданию производственных мощностей для выпуска фанеры, клееных деревянных конструкций, MDF-плит, топливных брикетов и пеллет. Планируется увеличить мощности по производству фанеры до 120 тыс. м3в год (60 тыс. м3квадратной и 60 тыс. м3больше­форматной), запустить производство OSB мощностью 120 тыс. м3в год, клееных деревянных конструкций (45 тыс. м3в год) и пеллет (50 тыс. т в год). Проект предполагает создание 300 новых рабочих мест. В августе 2022 г. Инвестиционный совет г. Вологды поддержал инвестиционный проект компании по расширению производства за счет модернизации фанерного завода и увеличения объемов заготовки круглых лесоматериалов. Планируемые инвестиции - 3,5 млрд. руб. В сентябре проект был поддержан Комиссией Федерального агентства лесного хозяйства. 26 января 2023 г. инвестпроект компании был включен Минпромторгом РФ в перечень приоритетных. Объем инвестиций был увеличен до 5 млрд руб. К реализации проекта компания приступила еще в 2021 г. Увеличилось до 400 и количество запланированных к созданию рабочих мест. Пока велась работа по получению статуса, предприятие уже начало инвестировать в строительство производственных объектов и закупку технологического оборудования. Приобретена техника для производства квадратной фанеры мощностью 30 тыс. м3в год, большеформатной фанеры мощностью 60 тыс. м3в год и клееного бруса мощностью 25 тыс. м3в год.Для проведения работ по лесовосстановлению предприятием создан тепличный комплекс по выращиванию саженцев с закрытой корневой системой. Возможности комплекса обеспечивают возможности по выращиванию до 500 тыс. саженцев в год.26 января 2023 г. на предприятии состоялся торжественный запуск новой линии брикетирования древесины. На участке установлены 7 брикетирующих прессов RUF, совокупной производительностью 3,5 т в час. Созданный участок брикетирования является крупнейшим в России. Все процессы автоматизированы. Специально для предприятия разработана линия автоматической упаковки брикетов, оснащенная роботизированным оборудованием от компании Kuka.Статьяо предприятии в Бюллетене Ассоциации «ЛЕСТЕХ».В 2022 г. компания присоединилась к реализации нацпроекта «Производительность труда». По результатам первого этапа, завершившегося в декабре 2022 г. – скорость протекания производственного процесса увеличилась на 11%, неликвидные запасы снижены на 10%, общий экономический эффект превысил 15 млн руб. По результатам проекта – руководство предприятия приняло решение о модернизации оборудования. Инвестиционный проект по расширению деревообрабатывающего производства включен Минпромторгом России в перечень приоритетных. За помощью в финансировании инвестпроекта предприятие обратилось в Фонд развития промышленности Вологодской области, где получило заём в сумме 78 млн руб. на 5 лет под 5% годовых."
Волосовский лесопункт,https://alestech.ru/factory/1215-volosovskij-lesopunkt,"Предприятие с 1998 г. осуществляет заготовку древесины и производит пиломатериалы, преимущественно из древесины ели.В 2021 г. на предприятии установлена лесопильная линия по переработке тонкомерной древесины производства компании ООО «Научно-Производственная Фирма «Техпромсервис», включающая многопильный круглопильный головной станок СРТ-320, делительный многопильный круглопильный станок второго ряда СМ15-40 и системы околостаночной механизации."
Восток-Ресурс,https://alestech.ru/factory/203-vostok-resurs,"Основной деятельностью компании «Восток-Ресурс» является производство и продажа пиломатериалов, а также круглых лесоматериалов на экспорт и на внутренний рынок. Основной ассортимент продукции: пиломатериалы, паллетная (тарная) доска, погонажные изделия, оцилиндрованные бревна.Мощность предприятия по переработке древесины — 400 тыс. м3в год.Площадь арендованных «Восток-Ресурс» участков лесного фонда составляет 236 тыс. га с расчетной лесосекой около 400 тыс. м3. Заготовка на лесных участках осуществляется на лесозаготовительных комплексах John Deere и Ponsse, вывозку древесину обеспечивает более 50 единиц автоспецтехники. У предприятия в собственности находятся железно­дорожный тупик вместимостью до 40 вагонов, лесо­заготовительная техника, авто­транспортный парк, собственные лесовозные железно­дорожные платформы.На производственной площадке «Восток-Ресурс» установлены автомати­зированная линия сортировки круглых лесоматериалов Hekotek, водогрейная котельнаяKohlbachмощностью 12 МВт, лесопильная линия Heinola 250 SL мощностью 200 тыс. м3пиломатериалов в год, сушильный комплекс производства компании Secal, оборудование для производства оцилиндрованных бревен и погонажных изделий.Отгрузка готовой продукции осуществляется автотранспортом, железно­дорожными вагонами и морскими контейнерами. Основной рынок сбыта пиломатериалов — Европа, Китай и страны СНГ.Согласно данным системы ЛесЕГАИС на 2021 г. расчетная лесосека ООО «ТПК «Восток-Ресурс» составляет 355 тыс. м3древесины в год. Также договоры на аренду лесов имеют связанные с ООО «ТПК «Восток-Ресурс» компании: расчетная лесосека ООО «УваЛес» составляет 19 тыс. м3древесины в год, ООО «ТопЛес» — 93,5 тыс. м3, ООО «Бугульминский лесо­комбинат» — 36,8 тыс. м3.Компания основана в 2002 году.С 2018 года компания «Восток-Ресурс» реализовывала приоритетный инвестиционный проект в области освоения лесов по модернизации лесопильного производства и биоэнергетической котельной предприятия. Инвестиции составили более 1 млрд рублей, создано 168 рабочих мест. В октябре 2021 г. Минпромторг России признал инвестпроект завершенным. Инвестиции в проект составили 1063,4 млн рублей, было создано 177 рабочих мест, количество персонала выросло до 520 человек.На предприятии достраивается пеллетный завод мощностью 46 тыс. т в год. В планах компании — строительство цеха строганой продукции мощностью 48 тыс. м3и завода по выпуску OSB."
Восточная торговая компания,https://alestech.ru/factory/200-vostochnaya-torgovaya-kompaniya,"ООО «Восточная торговая компания» было создано в 2016 году.Группа компаний «ВТК» — вертикально-интегрированное лесопромышленное производство полного цикла. В группу компаний входят 17 предприятий, обеспечивающих лесозаготовку, вывозку круглого леса, переработку и продажу лесоматериалов. В ассортименте продукции группы компаний: пиломатериалы, включая строганые, фанера, пеллеты, топливные брикеты, лущеный шпон, древесный уголь, одноразовая деревянная посуда.Компания осуществляет заготовки по сортиментной технологии с помощью лесозаготовительных комплексов (харвестеров и форвардеров) Komatsu и по хлыстовой технологии с помощью валочно-пакетирующих машин и скиддеров John Deere.Проектная годовая мощность:лесозаготовка — 459 тыс. м3;лесопереработка — 615 тыс. м3;сухие пиломатериалы — 196 тыс. м3;шпон — 23 тыс. м3;фанера — 15 тыс. м3;пеллеты — 65 тыс. тонн;древесный уголь — 4,8 тыс. тонн;саженцы — 200 тыс. шт.По данным системы ЛесЕГАИС расчетная лесосека ООО «Восточная торговая компания» составляет 231,7 тыс. м3древесины в год, а связанных с ним ООО «Инвестстрой», ООО «Гектор», ООО «Шаг-ДВ», ООО «Восток» совокупно 61 тыс. м3древесины.Инвестпроект Восточной торговой компании по созданию комплексного дерево­обрабатывающего предприятия в г. Советская Гавань стоимостью 750 млн рублей был включен в перечень приоритетных в области освоения лесов. Лесопильное производство проектной мощностью 100 тыс. м3пиломатериалов в год было запущено в феврале 2019 г.В марте 2020 г. в пос. Хор района им. Лазо Восточная торговая компания запустила производство фанеры мощностью 15 тыс. м3в год. Проект был запущен при поддержке Фонда развития промышленности (ФРП, входит в ВЭБ.РФ), который предоставил компании льготный заём на 33 млн рублей, 14,2 млн рублей предоставил в виде льготного займа Фонд развития промышленности Хабаровского края. Общая стоимость проекта составила 99,9 млн рублей.В июле 2020 г. ООО «Восточная торговая компания» объявила об открытии в конце года новой линии по производству топливных брикетов стандарта Pini Kay мощностью 10 тыс. т в год. Также в конце 2020 года было запланировано начать производство лущеного шпона мощностью 14 тыс. м3, из которых 10 тыс. м3будет направлено на производство 4 тыс. т одноразовой биоразлагаемой посуды.В феврале 2022 г. инвестиционный совет Еврейской автономной области принял решение о выделении ООО «ВТК-Инвест» (дочерней компании ООО «Восточная торговая компания») земельного участка в Облученском муниципальном районе площадью более 9 га без проведения торгов для реализации инвестиционного проекта по переработке древесины. ООО «ВТК-Инвест» уже получило статус резидента территории опережающего развития «Амуро-Хинганская» с предоставлением соответствующих налоговых льгот. Реализацию инвестпроекта планируется завершить в 2024 г. Запланированная мощность производства — 160 тыс. м3пиломатериалов в год. Также предприятие будет производить лущеный шпон, топливные брикеты, древесный уголь. Объем инвестиций - 484 млн руб. Проектом предусмотрено создание 286 новых рабочих мест. По состоянию на ноябрь 2023 г. - 206 уже созданы. Налоговые отчисления в бюджеты всех уровней с начала реализации проекта до конца 2022 г. составили 16,4 млн руб. В 2022 г. Состоялся тестовый запуск пеллетной линии.В мае 2023 г. Рослесхоз согласовал инвестиционный проект компании. Предприятию будут предоставлены лесные участки для реализации проекта с допустимым ежегодным объемом древесины около 463 тыс. м3.В ноябре 2023 г. стало известно, что предприятие планирует заключить договор с ГП ЕАО «Облэнергоремонт Плюс» на поставку пеллет для новых блочно-модульных котельных, которые устанавливаются в населённых пунктах ЕАО."
Вудлэнд24,https://alestech.ru/factory/960-vudlend24,"Компания образована в 2018 г. Основной профиль деятельности — заготовка круглых лесоматериалов.В 2019-2020 гг. между обществом и Министерством экологии, природопользования и лесного хозяйства Республики Саха (Якутия) заключен договора аренды лесного участка, площадью 177 тыс. га, местоположение: Республика Саха (Якутия), МО «Алданский район».В планах компании — проведение лесозаготовительных работ в Республике Саха (Якутия) совместно с ООО «Ангара» на протяжении 46 лет. Производственные планы компаний — заготовка 350 000 м3древесины в год.В июне 2022 г. состоялись общественные слушания, где рассматривался вопрос о возможности проведения процесса лесозаготовки на арендованных участках, по причине отсутствие заключения этнологической экспертизы, обязательного документа для одобрения любых промышленных проектов на территории Якутии.По данным портала Чекко, выручка компании ООО «Вудлэнд24» в 2021 г. отсутствует.Убыток составил 9,1 млн руб."
Вудпром,https://alestech.ru/factory/574-vudprom,"Компания «Вудпром» осуществляет лесозаготовку и производит обрезные пиломатериалы естественной влажности в Нижнеилимском районе Иркутской области.Общая площадь арендованных участков лесного фонда — 182 тыс. га. Лесозаготовительные подразделения компании (ООО «Андреевский ЛПХ», ООО «Вепрь», ООО «Видимское ЛПХ») в 2019 г. заготовили 435 тыс. м3древесины.Основное оборудование на лесопильной линии компании — Krafter.В 2017 г. компанией ПО «Теплоресурс» на предприятии был установлен котёл серии КТУ-500 с топливным складом объемом 100 м3.Компания реализует пиломатериалы, круглые лесоматериалы и технологическую щепу."
Выборгская Лесопромышленная Корпорация,https://alestech.ru/factory/295-vyborgskaya-lesopromyshlennaya-korporatsiya,"Предприятие основано в 1926 году финской компанией Hackman & K в посёлке Йоханнес (ныне Советский), недалеко от Выборга.Выборгская Лесопромышленная корпорация производит древесные топливные пеллеты, картон-топлайнер, лигносульфонат и кормовые дрожжи. Производственная мощность «ВЛК» по пеллетам — самая большая в России, 1 млн тонн древесных гранул в год. Однако реальный объем производства пеллет в связи с дефицитом сырья значительно меньше. За 2018 год ВЛК произвела 18 тыс. т пеллет.Производство расположено на берегу Финского залива, и обладает собственным причалом и железными подъездными путями. В полутора километрах от предприятия проходит трасса A-123 «Выборг–Зеленогорск».Выборгская Лесопромышленная корпорация обладает сертификатами соответствия: FSC-STD-40-004, ГОСТ Р ИСО 9001-2015, ГОСТ Р 45001-2020, ГОСТ Р 14001-2016.В 2020 году ООО «ВЛК» признано банкротом и в отношении компании ведется конкурсное производство."
Вышневолоцкий леспромхоз,https://alestech.ru/factory/96-vyshnevolotskiy-lespromkhoz,"АО «Вышневолоцкий леспромхоз» — деревообрабатывающее предприятие полного цикла. Производит пиломатериалы, в том числе строганые, клееный профилированный брус, клееную конструкционную балку, домокомплекты.История предприятия началась в 1953 году, когда был создан лесозаготовительный участок Калининской областной конторы по строительству в колхозах Главколхозстроя РСФСР. Древесина поставлялась в круглом виде, какая-либо переработка на пиломатериалы отсутствовала.С 1957 года леспромхоз начинает организовывать частичную переработку круглого леса на пиломатериалы на лесопильной раме Р-65.В 1963 году лесозаготовительному участку был присвоен официальный статус промышленного предприятия — Вышневолоцкий леспромхоз № 2 Калининского объединения «Облмежколхозстрой».В 1965 году строится двухэтажный лесопильный цех на базе лесопильной рамы РД-75, столярный цех для расширения сортимента выпускаемых пиломатериалов, сушильная камера, начато производство строганого погонажа, столярных изделий, в основном оконных и дверных блоков.В 1993 году леспромхоз преобразован в АОЗТ «Вышневолоцкий леспромхоз», на нынешний момент АО «Вышневолоцкий леспромхоз».С 2004 года на заготовке используются лесозаготовительные комплексы John Deere. Ежегодная заготовка — около 200 тыс. м3древесины.Отходы производства лесопиления перерабатываются в технологическую щепу Ц-1 и Ц-2 и отгружаются на целлюлозные комбинаты Финляндии и России.Выручка АО «Вышневолоцкий леспромхоз» в 2020 г. составила 802,304 млн руб., что на 14,4% больше, чем в 2019-м, а чистая прибыль — выросла на 76% до 67,33 млн руб.В сентябре 2021 г. пресс-служба правительства Тверской области сообщила, что Вышневолоцкому леспромхозу предоставят областную субсидию для возмещения части затрат, связанных с уплатой процентов по кредитам для реализации инвестпроекта по модернизации производства стоимостью 1,3 млрд рублей. Модернизация затронет цеха лесопиления, участки удаления отходов и заточки, линию сортировки. Планируется строительство нового цеха, склада, развитие дорожной сети на территории предприятия. Поставки оборудования и материалов запланированы в 2021–2022 гг., выход на проектную мощность начнется с 2023 г. На протяжении 5 лет предприятию будет компенсироваться часть процентной ставки по инвестиционному кредиту за счет региональной субсидии, суммарный объем которой превысит 270 млн рублей.В декабре Банк ВТБ установил Вышневолоцкому леспромхозу кредитно-документарный лимит в размере 1,5 млрд рублей. Финансирование направлено на реализацию инвестпроекта модернизации производства (цеха лесопиления, участка удаления отходов, линии сортировки и других объектов). Также в рамках проекта на предприятии появятся новый цех, складские и инфраструктурные площадки. Предприятие планирует увеличить годовой объем производства пиломатериалов до 55 тыс. м3к 2024 году."
Вятка-Лес,https://alestech.ru/factory/525-vatka-les,"ООО «Вятка-лес» осуществляет полный цикл лесозаготовки и переработки древесины. Компания арендует участки лесного фонда в Нагорском районе Кировской области и производит пиломатериалы, клееный и профилированный брус, домо­комплекты, оцилиндрованные бревна, занимается проектированием и строительством домов. Производство расположено в пгт Нагорск.Компания «Вятка-лес» основана в 1996 году.В 2014 г. компанией ПО «Теплоресурс» на предприятии был установлен котел серии КТУ-750 с автоматической системой управления.На лесозаготовках используется техника Ponsse. Лесопильная линия, на базе станка Arctant, позволяет распиливать до 40 м3пиловочника в час. Строжка сухих пиломатериалов производится на четырех­стороннем станке Winner Blazer BL 6-23. В производстве клееного бруса используется клей Purweld 1202 швейцарской компании Purbond. Нарезка чашек осуществляется на станке Stromab Euro Blox.Из древесных отходов «Вятка-лес» производит пеллеты, которые реализует в России и экспортирует в Европу."
Вятский фанерный комбинат,https://alestech.ru/factory/66-vyatskiy-fanernyy-kombinat,"Вятский фанерный комбинат является одним из ведущих производителей тонкой ДВП средней плотности сухого непрерывного способа производства марки ТСН. Данный вид плиты относится к категории плит MDF (плита средней плотности). Комбинат — один из лидеров по производству березовой фанеры.С 2014 года ООО «Вятский фанерный комбинат» входит в составSegezha Groupкорпорации АФК «Система».Производственная мощность Вятского фанерного комбината — 8 млн м2древесных плит в год, производственная мощность участка ДВП составляет 82 тыс. м³ плит ежегодно. Объем производства фанеры в 2020 г. достиг 192 тыс. м3- 100% проектной мощности предприятия. В ассортименте завода несколько десятков наименований фанеры, в том числе фанера необлицованная, фанера с цветными и прозрачными покрытиями, а также фанера танкерная Segezha LNG, трудногорючая Segezha Vulcan и гибкая Segezha Flexply. В 2022 г. комбинат вышел на показатели производства 196 тыс. м3фанеры и 83 тыс. м3ДВП. В планах Segezha Group — расширения и модернизации производства на комбинате до 255 тыс. м3фанеры в год. Производственная мощность комбината по топливным брикетам — 15 тыс. т в год.Запуск производства ДВП на Вятском фанерном комбинате состоялся в 2001 году.В 2006 г. началось строительство завода по производству больше­форматной фанеры. Проект получил статус приоритетного инвестиционного проекта в Приволжском федеральном округе.В 2008 г. была выпущена первая партия фанеры. Поставки фанеры осуществляются на рынки России и СНГ, а также в страны Европы, Азии, США и Японию. На экспорт отправляется 70% всей фанерной продукции комбината.В 2013 г. состоялся запуск производства топливных брикетов RUF.Вятский фанерный комбинат производит березовую фанеру (ФСФ и ФОФ) различных форматов и толщиной от 6 до 40 мм; ДВП сухого способа производства толщиной от 3,2 до 7 мм, а также топливные брикеты RUF.Согласно данным системы ЛесЕГАИС на 2021 г., расчетная лесосека ООО «Вятский фанерный комбинат» составляет 712,7 тыс. м3древесины в год. Лесозаготовительную деятельность, уход за лесом и лесовосстановление в регионе ведет филиал Вятского ФК (до вхождения в состав ВФК — «ЦКК «Вятка-Лес-Инвест»). Освоение расчетной лесосеки осуществляется подрядными организациями. Лесоматериалы (хлысты) лиственных и хвойных пород поставляются на лесо­перерабаты­вающие предприятия Кировской области. Поставки фанерного кряжа и балансов березовых осуществляются на «Вятский фанерный комбинат», доля поставок на предприятия группы «Сегежа» — 31%В 2018 г. на комбинате реализуется проект по повышению уровня экологичности производства. Предприятие увеличивает объем используемого вторсырья и сокращает количество непереработанных твердых коммунальных отходов. За четыре года комбинат сократил объем ТБО на 38%, еще на 10% планируется сократить его в 2022 году.В мае 2020 г. Вятский фанерный комбинат ввел в эксплуатацию новый участок по производству топливных брикетов из щепы. Инвестиции составили около 40 млн рублей. В 2019 г. комбинат реализовал почти 10 тыс. т топливных брикетов RUF. После открытия нового участка планируется увеличить продажи до 17 тыс. т в год.В июле 2021 г. на Вятском фанерном комбинате завершился проект по цифровизации склада готовой продукции. На складе внедрили новую систему хранения и электронную системы управления очередью для автотранспорта. Также на предприятии была улучшена навигация и оптимизированы погрузочные работы. Объем средств, направленных на модернизацию, составил 635 тыс. рублей.В 2021–2022 гг. проектным институтом ООО «НИПИ Биотин» выполнено проведение инженерных изысканий, подготовка проектной и рабочей документации, экспертиза и авторский надзор по модернизации производства на первой площадке комбината с реконструкцией зданий главного производственного корпуса и склада готовой продукцииЗа первое полугодие 2021 года Вятский фанерный комбинат произвел около 98 тыс. м3фанеры, что на 2 тыс. м3больше, чем за первое полугодие 2020 года. Наибольший прирост продукции — на 38% — был отмечен в сегменте берёзовой фанеры высшего сорта, комбинат произвёл 7,5 тыс. м3продукции данного вида.Ввод в эксплуатацию новых мощностей по производству фанеры на комбинате состоится в конце 2022 г. Инвестиции в проект составят около 6 млрд рублей. Производственная мощность предприятия по производству фанеры вырастет до 255 тыс. м3в год. При этом значительно увеличится доля специальных продуктов с высокой добавленной стоимостью — комбинат нарастит долю фанеры, покрытой пленками, а также продукции, обработанной станками с ЧПУ, начнется производство фанеры с покрытием ультра­фиолетового отверждения. Будет создано 180 новых рабочих мест.В октябре 2021 г. топливные брикеты, производимые на комбинате, были сертифицированы по системе FSC.С 2021 г. на заводе реализуется проект по сквозному учету и идентификации продукции. Разрабатывается система учета и сбора информации о продукции на всех стадиях технологического процесса, позволяющая внедрять мероприятия по снижению уровня брака. Система будет полезна и потребителям, которые получат возможность узнать сведения о производителе фанеры, исходном сырье и технологических параметрах производства – просто отсканировав QR-код на готовой продукции своим телефоном.В феврале 2022 г. австрийский концерн Polytechnik поставит для котельной комбината новый масляный котел мощностью 10 МВт, который обеспечить тепло­энергией будущий цех дополнительной обработки фанеры.Инженерные изыскания, подготовку проектной и рабочей документации, экспертизу и авторский надзор по вводу в эксплуатацию оборудования Raute и Polytechnik для организации второй очереди строительства выполнил проектный институт ООО «НИПИ Биотин».Летом 2022 г. на комбинат будут доставлены электрические погрузчики, которые заменят дизельные. Объем инвестиций, направленных на единовременную модернизацию парка, оценивается в 85,6 млн рублей. Ожидается, что снижение эксплуатационных расходов составит около 17 млн рублей в год.В июле 2022 г. Рослесхоз согласовал заявку предприятия на реализацию приоритетного инвестиционного проекта в области освоения лесов, предусматривающую запуск на комбинате производства большеформатной продольной фанеры.В августе 2022 г. на комбинате выполнен монтаж двух систем аспирации Хекер Политехник и Престо Прессен. Производительность систем – 90 000 м3/час и 35 000 м3/час, что позволило предприятию полностью решить проблему удаления отходов.В ноябре 2022 г. завод запустил продажу фанеры через маркетплейс Ozon, на котором представлено более 118 видов фанеры.В 2022 г. реконструировано здание цеха поперечной фанеры. Обновлена линия сушки шпона Raute в цехе поперечной фанеры, что улучшило качество сушки и сортировки финальной продукции.15 июня 2023 г. Segezha Group, в рамках ПМЭФ, подтвердила намерения по запуску третьей очереди производства на комбинате. 7 июля 2023 г. инвестиционный проект «Организация производства большеформатной продольной фанеры» предприятия включен в перечень приоритетных инвестиционных проектов в целях развития лесного комплекса. Объем запланированных инвестиций - более 4 млрд руб. Производственная мощность производства должна увеличиться на 71 тыс. м3фанеры в год.Осенью 2023 г. на предприятии запущен новый автоматический деревообрабатывающий центр с ЧПУ для дополнительной обработки фанерных плит. Выполнены работы по устройству фундаментов под угловой форматно-раскроечный центр и установлены два новых компрессора для обеспечения производства сжатым воздухом. В рамках проекта ведется замена системы освещения и ряда позиций вспомогательного оборудования.В результате модернизаций производственные мощности могут увеличиться на 63,5 тыс. м3в год - до 255 тыс. м3. На октябрь 2023 г. на комбинате ежегодно выпускается 192 тыс. м3фанеры в год. В портфеле компании 13 видов фанеры, в том числе LNG-фанера для обшивки в СПГ-судах, гибкая фанера для нестандартных конструкций, трудногорючая фанера широкого спектра применения.В декабре 2023 г. на предприятии сообщили о наращивании объемов производства трудногорючей фанеры Segezha Vulcan, запуск производства которой был налажен в 2021 г."
